1,Afghan,1,system
2,Albanian,1,system
3,Algerian,1,system
4,American,1,system
5,Andorran,1,system
6,Angolan,1,system
7,Antiguans,1,system
8,Argentinean,1,system
9,Armenian,1,system
10,Australian,1,system
11,Austrian,1,system
12,Azerbaijani,1,system
13,Bahamian,1,system
14,Bahraini,1,system
15,Bangladeshi,1,system
16,Barbadian,1,system
17,Barbudans,1,system
18,Batswana,1,system
19,Belarusian,1,system
20,Belgian,1,system
21,Belizean,1,system
22,Beninese,1,system
23,Bhutanese,1,system
24,Bolivian,1,system
25,Bosnian,1,system
26,Brazilian,1,system
27,British,1,system
28,Bruneian,1,system
29,Bulgarian,1,system
30,Burkinabe,1,system
31,Burmese,1,system
32,Burundian,1,system
33,Cambodian,1,system
34,Cameroonian,1,system
35,Canadian,1,system
36,Cape Verdean,1,system
37,Central African,1,system
38,Chadian,1,system
39,Chilean,1,system
40,Chinese,1,system
41,Colombian,1,system
42,Comoran,1,system
43,Congolese,1,system
44,Congolese,1,system
45,Costa Rican,1,system
46,Croatian,1,system
47,Cuban,1,system
48,Cypriot,1,system
49,Czech,1,system
50,Danish,1,system
51,Djibouti,1,system
52,Dominican,1,system
53,Dominican,1,system
54,Dutch,1,system
55,Dutchman,1,system
56,Dutchwoman,1,system
57,East Timorese,1,system
58,Ecuadorean,1,system
59,Egyptian,1,system
60,Emirian,1,system
61,Equatorial Guinean,1,system
62,Eritrean,1,system
63,Estonian,1,system
64,Ethiopian,1,system
65,Fijian,1,system
66,Filipino,1,system
67,Finnish,1,system
68,French,1,system
69,Gabonese,1,system
70,Gambian,1,system
71,Georgian,1,system
72,German,1,system
73,Ghanaian,1,system
74,Greek,1,system
75,Grenadian,1,system
76,Guatemalan,1,system
77,Guinea-Bissauan,1,system
78,Guinean,1,system
79,Guyanese,1,system
80,Haitian,1,system
81,Herzegovinian,1,system
82,Honduran,1,system
83,Hungarian,1,system
84,I-Kiribati,1,system
85,Icelander,1,system
86,Indian,1,system
87,Indonesian,1,system
88,Iranian,1,system
89,Iraqi,1,system
90,Irish,1,system
91,Irish,1,system
92,Israeli,1,system
93,Italian,1,system
94,Ivorian,1,system
95,Jamaican,1,system
96,Japanese,1,system
97,Jordanian,1,system
98,Kazakhstani,1,system
99,Kenyan,1,system
100,Kittian and Nevisian,1,system
101,Kuwaiti,1,system
102,Kyrgyz,1,system
103,Laotian,1,system
104,Latvian,1,system
105,Lebanese,1,system
106,Liberian,1,system
107,Libyan,1,system
108,Liechtensteiner,1,system
109,Lithuanian,1,system
110,Luxembourger,1,system
111,Macedonian,1,system
112,Malagasy,1,system
113,Malawian,1,system
114,Malaysian,1,system
115,Maldivan,1,system
116,Malian,1,system
117,Maltese,1,system
118,Marshallese,1,system
119,Mauritanian,1,system
120,Mauritian,1,system
121,Mexican,1,system
122,Micronesian,1,system
123,Moldovan,1,system
124,Monacan,1,system
125,Mongolian,1,system
126,Moroccan,1,system
127,Mosotho,1,system
128,Motswana,1,system
129,Mozambican,1,system
130,Namibian,1,system
131,Nauruan,1,system
132,Nepalese,1,system
133,Netherlander,1,system
134,New Zealander,1,system
135,Ni-Vanuatu,1,system
136,Nicaraguan,1,system
137,Nigerian,1,system
138,Nigerien,1,system
139,North Korean,1,system
140,Northern Irish,1,system
141,Norwegian,1,system
142,Omani,1,system
143,Pakistani,1,system
144,Palauan,1,system
145,Panamanian,1,system
146,Papua New Guinean,1,system
147,Paraguayan,1,system
148,Peruvian,1,system
149,Polish,1,system
150,Portuguese,1,system
151,Qatari,1,system
152,Romanian,1,system
153,Russian,1,system
154,Rwandan,1,system
155,Saint Lucian,1,system
156,Salvadoran,1,system
157,Samoan,1,system
158,San Marinese,1,system
159,Sao Tomean,1,system
160,Saudi,1,system
161,Scottish,1,system
162,Senegalese,1,system
163,Serbian,1,system
164,Seychellois,1,system
165,Sierra Leonean,1,system
166,Singaporean,1,system
167,Slovakian,1,system
168,Slovenian,1,system
169,Solomon Islander,1,system
170,Somali,1,system
171,South African,1,system
172,South Korean,1,system
173,Spanish,1,system
174,Sri Lankan,1,system
175,Sudanese,1,system
176,Surinamer,1,system
177,Swazi,1,system
178,Swedish,1,system
179,Swiss,1,system
180,Syrian,1,system
181,Taiwanese,1,system
182,Tajik,1,system
183,Tanzanian,1,system
184,Thai,1,system
185,Togolese,1,system
186,Tongan,1,system
187,Trinidadian or Tobagonian,1,system
188,Tunisian,1,system
189,Turkish,1,system
190,Tuvaluan,1,system
191,Ugandan,1,system
192,Ukrainian,1,system
193,Uruguayan,1,system
194,Uzbekistani,1,system
195,Venezuelan,1,system
196,Vietnamese,1,system
197,Welsh,1,system
198,Welsh,1,system
199,Yemenite,1,system
200,Zambian,1,system
201,Zimbabwean,1,system
